Model,class,precision,recall,f1_score,support
model1125,0,0.98,0.93,0.95,367
model1125,1,0.28,0.41,0.33,27
model1125,2,0.56,0.65,0.6,123
model1125,3,0.33,0.28,0.3,29
model1125,4,0.1,0.08,0.09,25
model1126,0,0.98,0.93,0.95,367
model1126,1,0.28,0.41,0.33,27
model1126,2,0.53,0.5,0.52,123
model1126,3,0.26,0.45,0.33,29
model1126,4,0.1,0.08,0.09,25
model1127,0,0.98,0.93,0.95,367
model1127,1,0.28,0.41,0.33,27
model1127,2,0.54,0.65,0.59,123
model1127,3,0.35,0.21,0.26,29
model1127,4,0.1,0.08,0.09,25
model1128,0,0.98,0.93,0.95,367
model1128,1,0.28,0.41,0.33,27
model1128,2,0.6,0.47,0.53,123
model1128,3,0.23,0.55,0.32,29
model1128,4,0.1,0.08,0.09,25
model1129,0,0.98,0.93,0.95,367
model1129,1,0.28,0.41,0.33,27
model1129,2,0.57,0.58,0.57,123
model1129,3,0.19,0.28,0.23,29
model1129,4,0.1,0.08,0.09,25
model1135,0,0.98,0.93,0.95,367
model1135,1,0.28,0.41,0.33,27
model1135,2,0.59,0.68,0.63,123
model1135,3,0.25,0.24,0.25,29
model1135,4,0.44,0.28,0.34,25
model1136,0,0.98,0.93,0.95,367
model1136,1,0.28,0.41,0.33,27
model1136,2,0.57,0.55,0.56,123
model1136,3,0.24,0.41,0.3,29
model1136,4,0.44,0.28,0.34,25
model1137,0,0.98,0.93,0.95,367
model1137,1,0.28,0.41,0.33,27
model1137,2,0.56,0.71,0.63,123
model1137,3,0.31,0.17,0.22,29
model1137,4,0.44,0.28,0.34,25
model1138,0,0.98,0.93,0.95,367
model1138,1,0.28,0.41,0.33,27
model1138,2,0.63,0.51,0.57,123
model1138,3,0.21,0.52,0.3,29
model1138,4,0.44,0.28,0.34,25
model1139,0,0.98,0.93,0.95,367
model1139,1,0.28,0.41,0.33,27
model1139,2,0.6,0.63,0.61,123
model1139,3,0.17,0.24,0.2,29
model1139,4,0.44,0.28,0.34,25
model1145,0,0.98,0.93,0.95,367
model1145,1,0.28,0.41,0.33,27
model1145,2,0.58,0.63,0.6,123
model1145,3,0.26,0.24,0.25,29
model1145,4,0.25,0.24,0.24,25
model1146,0,0.98,0.93,0.95,367
model1146,1,0.28,0.41,0.33,27
model1146,2,0.55,0.52,0.54,123
model1146,3,0.26,0.41,0.32,29
model1146,4,0.25,0.24,0.24,25
model1147,0,0.98,0.93,0.95,367
model1147,1,0.28,0.41,0.33,27
model1147,2,0.55,0.66,0.6,123
model1147,3,0.33,0.17,0.23,29
model1147,4,0.25,0.24,0.24,25
model1148,0,0.98,0.93,0.95,367
model1148,1,0.28,0.41,0.33,27
model1148,2,0.62,0.47,0.53,123
model1148,3,0.22,0.52,0.31,29
model1148,4,0.25,0.24,0.24,25
model1149,0,0.98,0.93,0.95,367
model1149,1,0.28,0.41,0.33,27
model1149,2,0.6,0.59,0.59,123
model1149,3,0.17,0.24,0.2,29
model1149,4,0.25,0.24,0.24,25
model1155,0,0.98,0.93,0.95,367
model1155,1,0.28,0.41,0.33,27
model1155,2,0.6,0.65,0.62,123
model1155,3,0.26,0.24,0.25,29
model1155,4,0.32,0.32,0.32,25
model1156,0,0.98,0.93,0.95,367
model1156,1,0.28,0.41,0.33,27
model1156,2,0.57,0.54,0.55,123
model1156,3,0.26,0.41,0.32,29
model1156,4,0.32,0.32,0.32,25
model1157,0,0.98,0.93,0.95,367
model1157,1,0.28,0.41,0.33,27
model1157,2,0.57,0.67,0.61,123
model1157,3,0.31,0.17,0.22,29
model1157,4,0.32,0.32,0.32,25
model1158,0,0.98,0.93,0.95,367
model1158,1,0.28,0.41,0.33,27
model1158,2,0.64,0.49,0.55,123
model1158,3,0.22,0.52,0.31,29
model1158,4,0.32,0.32,0.32,25
model1159,0,0.98,0.93,0.95,367
model1159,1,0.28,0.41,0.33,27
model1159,2,0.61,0.59,0.6,123
model1159,3,0.16,0.24,0.19,29
model1159,4,0.32,0.32,0.32,25
model1225,0,0.98,0.93,0.95,367
model1225,1,0.32,0.44,0.38,27
model1225,2,0.56,0.66,0.6,123
model1225,3,0.33,0.28,0.3,29
model1225,4,0.11,0.08,0.09,25
model1226,0,0.98,0.93,0.95,367
model1226,1,0.32,0.44,0.38,27
model1226,2,0.52,0.5,0.51,123
model1226,3,0.25,0.45,0.32,29
model1226,4,0.11,0.08,0.09,25
model1227,0,0.98,0.93,0.95,367
model1227,1,0.32,0.44,0.38,27
model1227,2,0.53,0.66,0.59,123
model1227,3,0.35,0.21,0.26,29
model1227,4,0.11,0.08,0.09,25
model1228,0,0.98,0.93,0.95,367
model1228,1,0.32,0.44,0.38,27
model1228,2,0.59,0.47,0.52,123
model1228,3,0.23,0.55,0.32,29
model1228,4,0.11,0.08,0.09,25
model1229,0,0.98,0.93,0.95,367
model1229,1,0.32,0.44,0.38,27
model1229,2,0.57,0.6,0.59,123
model1229,3,0.2,0.28,0.23,29
model1229,4,0.11,0.08,0.09,25
model1235,0,0.98,0.93,0.95,367
model1235,1,0.32,0.44,0.38,27
model1235,2,0.57,0.68,0.62,123
model1235,3,0.27,0.24,0.25,29
model1235,4,0.47,0.28,0.35,25
model1236,0,0.98,0.93,0.95,367
model1236,1,0.32,0.44,0.38,27
model1236,2,0.54,0.54,0.54,123
model1236,3,0.24,0.41,0.3,29
model1236,4,0.47,0.28,0.35,25
model1237,0,0.98,0.93,0.95,367
model1237,1,0.32,0.44,0.38,27
model1237,2,0.55,0.7,0.61,123
model1237,3,0.31,0.17,0.22,29
model1237,4,0.47,0.28,0.35,25
model1238,0,0.98,0.93,0.95,367
model1238,1,0.32,0.44,0.38,27
model1238,2,0.6,0.5,0.55,123
model1238,3,0.23,0.55,0.32,29
model1238,4,0.47,0.28,0.35,25
model1239,0,0.98,0.93,0.95,367
model1239,1,0.32,0.44,0.38,27
model1239,2,0.59,0.64,0.61,123
model1239,3,0.21,0.28,0.24,29
model1239,4,0.47,0.28,0.35,25
model1245,0,0.98,0.93,0.95,367
model1245,1,0.32,0.44,0.38,27
model1245,2,0.55,0.62,0.58,123
model1245,3,0.27,0.24,0.25,29
model1245,4,0.24,0.24,0.24,25
model1246,0,0.98,0.93,0.95,367
model1246,1,0.32,0.44,0.38,27
model1246,2,0.52,0.49,0.5,123
model1246,3,0.26,0.41,0.32,29
model1246,4,0.24,0.24,0.24,25
model1247,0,0.98,0.93,0.95,367
model1247,1,0.32,0.44,0.38,27
model1247,2,0.53,0.63,0.58,123
model1247,3,0.33,0.17,0.23,29
model1247,4,0.24,0.24,0.24,25
model1248,0,0.98,0.93,0.95,367
model1248,1,0.32,0.44,0.38,27
model1248,2,0.59,0.46,0.51,123
model1248,3,0.24,0.55,0.33,29
model1248,4,0.24,0.24,0.24,25
model1249,0,0.98,0.93,0.95,367
